unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,C1,C2,C3,C4,C5,C6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,p_lecz,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join
0,570,0, ,Butrint,Butrint,1992,1999, ,20.0377031,39.74476315,-9999,397.2370456,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,190.19,6,52,20.088,0.2561722,1,1,1,968.3177089,8476.570679,968.3177089
1,565,0, ,Kasbah of Algiers,Casbah d'Alger,1992,0, ,3.061006459,36.78510586,60,53.18381346,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,13,22,16,0,1,1,1,330.7822128,411.3906401,330.7822128
2,193,3,Mausoleum Kbor er Roumia,Tipasa,Tipasa,1982,0,P 2002-2006,2.553167,36.57483301,7.83,7.838825917,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,34,40,36.444,0,1,1,1,542.7373355,622.0959475,542.7373355
3,193,2,Tipasa: Parc archaéologique est,Tipasa,Tipasa,1982,0,P 2002-2006,2.457751051,36.59384249,16.58,17.90961011,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,21,37,24,0,1,1,1,419.5615012,469.6924303,419.5615012
4,193,1,Tipasa: Parc archaéologique ouest,Tipasa,Tipasa,1982,0,P 2002-2006,2.442423886,36.59347065,27.75,28.48361161,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,0,35,51,47,0,1,1,1,581.0770449,648.0369213,581.0770449
5,809,0, ,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Ensemble épiscopal de la basilique euphrasienne dans le centre historique de Pore?,1997,0, ,13.59322541,45.22869048,1.1,1.149586797,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,5,1,1,1,1,2.491553827,64.65326007,2.491553827
6,97,0, ,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de Dioclétien,1979,0, ,16.43914232,43.50869903,20.8,20.66201767,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,6,10,6.8571,1,1,1,1,303.3503848,425.011947,303.3503848
7,95,2,Lokrum Island,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,72,68.09909378,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,25,7.6667,0.7287032,1,1,1,0,77.9835574,0
8,810,0, ,Historic City of Trogir,Ville historique de Trogir,1997,0, ,16.24948866,43.51639052,6.4,6.571156387,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,3,12,5.9091,0.8798554,1,1,1,373.7321655,318.5431941,373.7321655
9,963,0, ,The Cathedral of St James in Šibenik,Cathédrale Saint-Jacques de Šibenik,2000,0, ,15.88911514,43.73566763,0.1,0.083057799,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,26,36,32.333,0,1,1,1,102.7319633,246.8690729,102.7319633
10,95,1,Old City of Dubrovnik,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.10852881,42.64102801,24.7,23.45091738,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,44,46,45,0,1,1,1,355.4008193,543.91029,355.4008193
11,1240,0, ,Stari Grad Plain,Plaine de Stari Grad,2008,0, ,16.63414237,43.18243755,1376.53,1097.865805,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,0,8,4.7105,1,1,1,1,0,0,0
12,79,3,"Aphrodite's Sanctuary (""Palaepaphos"")",Paphos,Paphos,1980,0, ,32.573333,34.70861103,22.9227,22.96583901,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,4,6,5.3333,1,1,1,1,39.47322439,0,39.47322439
13,79,2,Kato Paphos necropolis,Paphos,Paphos,1980,0, ,32.40516267,34.77569745,32.6883,32.69540898,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,3,0,-3,59,28.079,0.212403,1,1,1,0,0,0
14,79,1,"Aphrodite's Sacred City, Kato Paphos",Paphos,Paphos,1980,0, ,32.40772424,34.75956296,106.4061,105.8940958,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,51,93,77.879,0,0,0,0,1630.48662,1083.484918,1630.48662
22,164,0, ,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans",1981,0, ,4.629322893,43.67769678,65,64.38296539,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,22,9.5319,0.4175867,0,1,1,0,0,0
24,493,0, ,Medieval City of Rhodes,Ville médiévale de Rhodes,1988,0, ,28.22661784,36.44298405,65.85,54.47099017,0,0,1,0,0,1,(iii)(vi),Cultural,C,Cyprus,Chypre,Europe and North America,Europe et Amérique du nord,cy,cyp,0,3,,0,0,24,8.4106,0.6601337,1,1,1,0,0,0
25,530,0, ,Delos,Délos,1990,0, ,25.27093963,37.39330385,350.64,344.7367669,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-4,82,26.89,0.1906203,1,1,0,0,0,0
26,595,2,Heraion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.88967317,37.67902848,382.45,356.1039788,1,0,1,1,0,0,(i)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,53.7,0,37,10.625,0.3763589,1,1,1,0,0,0
27,978,0, ,Old Town of Corfu,Vieille ville de Corfou,2007,0, ,19.92267046,39.62435972,70,64.42864378,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et Amérique du nord,hr,hrv,0,2,,0,-3,16,5.0556,0.7383972,1,1,1,0,0,0
28,595,1,Pythagoreion of Samos,Pythagoreion and Heraion of Samos,Pythagoreion et Heraion de Samos,1992,0, ,26.93401282,37.69635438,285.9,246.7956705,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Montenegro,Monténégro,Europe and North America,Europe et Amérique du nord,me,mne,0,1,2,36491,-10,1374,358.69,0.265859,1,1,0,0,0,0
31,1220,1,North Slope of the Mount Carmel (Carmel North),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,34.987123,32.814607,-9999,3.146231248,1,0,0,0,0,1,(i)(vi),Cultural,C,Malta,Malte,Europe and North America,Europe et Amérique du nord,mt,mlt,0,2,,0,0,68,40.13,0.0852417,1,1,1,0,0,0
32,1220,2,Persian Quarter (Carmel North),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,34.992072,32.818005,-9999,3.146228968,0,1,0,1,0,0,(ii)(iv),Cultural,C,France,France,Europe and North America,Europe et Amérique du nord,fr,fra,0,2,,0,2,29,15.194,0.2230632,1,1,1,25700.40485,23654.82347,25700.40485
33,1220,3,Place of Revelation (Carmel West),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,34.974909,32.822591,-9999,3.146225891,1,1,1,0,0,0,(i)(ii)(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999,0,30,12.824,0.3372363,1,1,0,0,27.04842146,0
34,1220,4,Bahai Cementary (Carmel West),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,34.97168319,32.82951032,-9999,0.644632634,0,0,1,0,0,0,(iii),Cultural,C,Libya,Libye,Arab States,États arabes,ly,lby,0,3,,-9999,1,16,10.694,0.4575724,1,1,0,0,9.030832107,0
35,1220,5,Bahji,Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.09236199,32.94350692,-9999,15.15301872,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,216,263,247,0,0,0,0,1743.489493,1733.879706,1743.489493
36,1220,6,the Prison (Old Acre Sites),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.06911588,32.92362603,-9999,0.090810895,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,-1,29,17.375,0.2245171,1,1,1,0,0,0
37,1220,7,House of Abbud (Old Acre Sites),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.06731832,32.92151122,-9999,0.06614326,0,0,1,1,0,0,(iii)(iv),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,1,3,,0,-3,27,15.372,0.1575766,1,1,1,0,0,0
38,1220,8,House of Abdu'llah Pasha (Old Acre Sites),Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.06799845,32.9236727,-9999,0.898810712,0,0,1,1,0,1,(iii)(iv)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,3,,-9999,0,26,11.933,0.3026324,0,1,1,0,0,0
39,1220,9,Ridv'an Garden,Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.09011471,32.9163676,-9999,9.535642971,0,0,1,0,0,1,(iii)(vi),Cultural,C,Lebanon,Liban,Arab States,États arabes,lb,lbn,0,2,3,0,-2,25,8.662393,0.7321238,1,1,1,0,0,0
40,1220,10,Mansion of Mazra'ih,Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.09977824,32.98719269,-9999,4.427923823,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,0,6,4.8,1,0,0,0,0,108.3862766,0
41,1220,11,Junayn,Bahá’i Holy Places in Haifa and the Western Galilee,Lieux saints bahá’is à Haïfa et en Galilée occidentale,2008,0, ,35.09524497,32.99423084,-9999,0.939546645,0,0,1,0,0,0,(iii),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,3,,0,19,23,19,0,1,0,0,827.4044731,1051.018539,827.4044731
42,1042,0, ,Old City of Acre,Vieille ville d’Acre,2001,0, ,35.07028866,32.9226549,63.3,44.70375724,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,16,52,39.125,0,1,1,1,339.8222776,96.17236133,339.8222776
43,1096,0, ,White City of Tel-Aviv -- the Modern Movement,Ville blanche de Tel-Aviv – le mouvement moderne,2003,0, ,34.77396203,32.07385877,140.4,272.0858327,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,14,65,47.571,0,1,1,1,165.7704438,0,165.7704438
45,394,0, ,Venice and its Lagoon,Venise et sa lagune,1987,0, ,12.37550933,45.47187121,-9999,69672.09297,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,0,58,29.658,0.0784425,1,1,1,0,0,0
46,788,3,Neonian Baptistry,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.197342,44.415614,0.01,0.009950784,1,1,1,1,0,0,(i)(ii)(iii)(iv),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,2,,0,-1,88,40.877,0.1165655,1,1,1,76.55604081,349.2198326,76.55604081
49,788,2,Church of St. Vitale,Early Christian Monuments of Ravenna,Monuments paléochrétiens de Ravenne,1996,0, ,12.19634796,44.42053278,0.14,0.174261399,1,1,1,1,1,1,(i)(ii)(iii)(iv)(v)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,1,2,0,-20,20,-0.62431,0.9997231,1,1,1,0,0,0
57,825,0, ,Archaeological Area and the Patriarchal Basilica of Aquileia,Zone archéologique et la basilique patriarcale d’Aquilée,1998,0, ,13.3667075,45.77351197,155.3,131.2020483,1,1,0,1,0,1,(i)(ii)(iv)(vi),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,254,2,14,7.6471,0.8661017,1,1,1,9136.32983,7458.956936,9136.32983
58,842,1,"Paestum, Velia, the Certosa di Padula, Mount Cervati and the Vallo di Diano","Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","Parc national du Cilento et du Vallo Diano, avec les sites archéologiques de Paestum et Velia et la Chartreuse de Padula",1998,0, ,15.37649056,40.32880639,1371,137168.0615,0,1,1,0,0,0,(ii)(iii),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,3,,0,19,27,20.571,0,0,0,0,7199.390526,7756.050997,7199.390526
59,842,2,Punta Licosa and the Mount Stella region,"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","Parc national du Cilento et du Vallo Diano, avec les sites archéologiques de Paestum et Velia et la Chartreuse de Padula",1998,0, ,15.0042921,40.26070331,111.29,10087.10425,0,1,1,0,0,0,(ii)(iii),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,3,,29,3,83,25.605,0.4031791,0,0,0,3156.242768,3666.287338,3156.242768
60,842,3,"Capo Palinuro, Punta d. Infreschi and the Mount Bulgheria region","Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula","Parc national du Cilento et du Vallo Diano, avec les sites archéologiques de Paestum et Velia et la Chartreuse de Padula",1998,0, ,15.37718577,40.07664114,126.41,10176.7738,0,1,1,0,0,0,(ii)(iii),Cultural,C,Turkey,Turquie,Europe and North America,Europe et Amérique du nord,tr,tur,0,3,,34.4,16,110,62.585,0,0,0,0,7361.513109,7916.411418,7361.513109
61,829,5,Theatre of Herculaneum,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.34761,40.80833,0.17,0.169305809,0,1,0,1,1,0,(ii)(iv)(v),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,2,,0,4,37,21.756,0.082738,1,1,1,19.24499507,167.8169246,19.24499507
62,712,22,Villa Pisani Montagnana,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.469609,45.230557,0.21,0.208926528,0,0,1,1,1,0,(iii)(iv)(v),Cultural,C,Tunisia,Tunisie,Arab States,États arabes,tn,tun,0,2,,60.99,5,42,25.085,0.0509003,1,1,1,429.3738239,308.5571924,308.5571924
63,712,13,Villa Thiene Quinto Vicentino,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.625166,45.57298,0.38,0.378537603,0,1,1,1,0,1,(ii)(iii)(iv)(vi),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,3,,0,0,97,26.608,0.2227692,0,0,0,0,0,0
64,829,7,Torre Annuziata: Villa B,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.45628,40.75628,0.55,0.54884123,0,1,0,0,1,0,(ii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,0,2,,0,0,129,54.026,0.0872361,1,1,1,0,0,0
65,712,12,Villa Saraceno Agugliaro,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.566445,45.312559,0.59,0.588207715,0,0,1,0,0,0,(iii),Cultural,C,Albania,Albanie,Europe and North America,Europe et Amérique du nord,al,alb,0,3,,8591,-5,172,20.248,0.6028194,0,0,0,338.0922237,402.9451469,338.0922237
66,712,3,Villa Gazzotti Grimani Bertesina (Vicenza),City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.600919,45.559414,0.9,0.897703959,0,1,1,0,0,0,(ii)(iii),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,3,,0,-2,20,5.5958,0.8769239,1,1,1,0,0,0
67,829,2,Villa dei Misteri (Pompei),"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.477437,40.75367799,0.95,0.948711528,0,1,1,0,0,0,(ii)(iii),Cultural,C,Greece,Grèce,Europe and North America,Europe et Amérique du nord,gr,grc,0,3,,402.25,0,226,89.405,0.142152,1,1,1,0,27.65017155,0
68,829,6,Torre Annuziata: Villa A,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.45256,40.75706,1.15,1.1486459,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,18,18,18,0,1,1,1,52508.42958,53683.84334,52508.42958
69,829,4,Villa dei Papiri,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.34485181,40.80818282,1.22,1.640565132,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,33,35,35,0,1,1,1,45656.47562,45434.19479,45656.47562
70,712,25,Villa Piovene Lugo Vicentino,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.533394,45.747741,1.33,1.327090486,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,12,15,12,0,0,0,0,44373.60949,45048.31014,44373.60949
71,712,17,Villa Badoer called Fratta Polesine,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.63985794,45.03059463,1.41,1.378131032,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,34,36,35,0,1,0,0,46691.58122,46473.39571,46691.58122
72,712,10,Villa Pisani Ferri Bagnolo Maggiore,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.371396,45.357154,1.6,1.596961572,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,200,227,211.5,0,0,1,0,62409.32369,62164.55888,62409.32369
73,712,8,Villa Forni Cerato Montecchio Precalcino,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.562264,45.65891901,2.23,2.226209962,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,6,10,8,1,0,1,0,47779.12627,47727.1041,47779.12627
74,712,6,Villa Caldogno,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.508086,45.61509601,2.77,2.765805753,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,26,31,27,0,0,0,0,59958.55248,60356.44231,59958.55248
75,712,24,Villa Serego San Pierto in Cariano,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,10.923894,45.49938101,2.78,2.775865875,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,71,77,73.25,0,1,1,0,54675.05262,54445.40327,54675.05262
76,712,16,Villa Valmarana Bressan Monticello Conte Otto,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.584425,45.60746201,3.29,3.285390905,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,51,55,53.8,0,1,1,1,55862.24698,55639.90592,55862.24698
77,712,5,Villa Angarano Bassano,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.72361,45.78056001,3.58,3.574967468,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,99,108,104,0,1,1,1,96275.86276,96094.99768,96275.86276
78,712,14,Villa Trissino Sarego,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.412739,45.43257001,3.78,3.775119444,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,41,46,44.4,0,1,1,1,50199.84114,49974.70881,50199.84114
79,726,3,Marechiaro,Historic Centre of Naples,Centre historique de Naples,1995,0, ,14.1920714,40.79571993,4,4.404388664,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,121,129,124.2,0,1,1,1,53461.73319,53469.54384,53461.73319
80,712,15,Villa Valmarana Zen Bolzano Vicentino,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.61021,45.57994601,4.34,4.33464472,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,37,48,39.6,0,0,1,1,57449.12346,57276.05909,57449.12346
81,712,9,Villa Godi Malinverni Lonedo di Lugo Vicentino,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.534809,45.74571501,4.66,4.654200636,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,36,41,38.375,0,1,1,1,46965.55528,46743.00862,46965.55528
82,826,4,Isola Tinetto,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)","Portovenere, Cinque Terre et les îles (Palmaria, Tino et Tinetto)",1997,0, ,9.851148765,44.02378408,4.69,0.876087174,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,165,214,182.78,0,0,1,0,62124.35241,61879.141,62124.35241
83,712,21,"Villa Foscari, called Mira",City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,12.2005713,45.43643002,5.87,6.159363193,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,-3,2,-1.5714,1,1,1,1,1127.535231,1832.419501,1127.535231
84,712,11,Villa Pojana Poiana Maggioare,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.49937378,45.28497376,6.14,6.184175691,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,10,15,11.636,0.0457841,1,1,1,49491.69972,50366.80773,49491.69972
85,712,18,Villa Barbaro Maser,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.976502,45.81217502,6.57,6.562842657,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,149,188,163.08,0,0,0,0,43964.38696,43485.13396,43964.38696
86,712,23,Villa Cornaro Piombino Dese,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.99917,45.60389002,7.44,7.432711583,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,19,24,21.769,0,1,1,1,24325.57056,24379.9924,24325.57056
87,712,20,Villa Zeno Cessalto,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,12.64393731,45.70182583,7.71,7.726597477,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,-1,6,1.5,1,0,0,0,16049.34457,15186.7751,16049.34457
88,712,4,"Villa Almerico Capra, called Vicenza",City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.56,45.53167002,9,8.991968708,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,29,47,37.467,0,1,1,1,48396.13157,48186.60082,48396.13157
89,829,3,Heraculaneum,"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata","Zones archéologiques de Pompéi, Herculanum et Torre Annunziata",1997,0, ,14.34734494,40.80528938,9.42,9.015827491,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,21,27,24.316,0,1,1,1,41086.31664,40878.96019,41086.31664
90,712,7,Villa Chiericati Grumolo delle Abbadesse,City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.644657,45.50311903,11.75,11.74069915,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,30,41,36,0,1,1,1,50663.993,50447.9339,50663.993
91,712,2,"Villa Trissino, now Trettenero Cricoli",City of Vicenza and the Palladian Villas of the Veneto,Ville de Vicence et les villas de Palladio en Vénétie,1994,1996, ,11.54694,45.56528003,13,12.99002305,1,1,0,0,0,0,(i)(ii),Cultural,C,Italy,Italie,Europe and North America,Europe et Amérique du nord,it,ita,0,2,,0,58,64,59.773,0,0,0,0,33850.86932,33479.97187,33850.86932
